,Series or Movie,IMDb Score,Awards Received,Release Date,Release Period
8249,Movie,4.8,Not Awarded,2012-03-30,2010-2029
8250,Movie,5.8,1.0,2018-07-20,2010-2029
8251,Movie,5.2,Not Awarded,2018-07-20,2010-2029
8252,Series,6.8,Not Awarded,2018-07-20,2010-2029
8253,Series,5.1,Not Awarded,2013-08-23,2010-2029
8254,Series,8.3,Not Awarded,2018-02-26,2010-2029
8255,Movie,5.8,Not Awarded,2017-01-06,2010-2029
8256,Movie,6.9,20.0,2006-06-30,1990-2009
8257,Movie,7.0,35.0,1996-07-03,1990-2009
8258,Movie,8.3,20.0,1986-07-18,1970-1989
8259,Movie,6.2,7.0,1997-11-26,1990-2009
8260,Movie,6.5,1.0,2000-10-06,1990-2009
8261,Series,6.8,Not Awarded,2018-07-12,2010-2029
8262,Series,7.7,Not Awarded,2016-10-05,2010-2029
8263,Movie,5.6,2.0,2004-08-13,1990-2009
8264,Movie,5.5,Not Awarded,2018-03-29,2010-2029
8265,Movie,6.8,Not Awarded,2017-07-08,2010-2029
8266,Movie,5.8,Not Awarded,2018-07-18,2010-2029
8267,Movie,5.4,Not Awarded,2011-10-07,2010-2029
8268,Movie,6.3,12.0,2006-02-17,1990-2009
8269,Movie,5.7,2.0,2009-09-11,1990-2009
8270,Movie,6.2,Not Awarded,2011-01-05,2010-2029
8271,Movie,4.4,1.0,2009-02-27,1990-2009
8272,Movie,5.2,2.0,2007-02-16,1990-2009
8273,Movie,5.7,2.0,2010-10-27,2010-2029
8274,Movie,6.2,2.0,2009-02-06,1990-2009
8275,Movie,4.2,Not Awarded,2016-11-17,2010-2029
8276,Movie,6.1,Not Awarded,2011-01-21,2010-2029
8277,Series,8.2,Not Awarded,2018-01-02,2010-2029
8278,Movie,4.6,2.0,2017-10-12,2010-2029
8279,Movie,4.7,Not Awarded,2018-05-17,2010-2029
8281,Movie,6.3,5.0,2017-09-14,2010-2029
8282,Series,8.3,9.0,2016-10-05,2010-2029
8283,Series,7.8,1.0,2001-04-12,1990-2009
8284,Movie,5.0,Not Awarded,2018-07-13,2010-2029
8285,Movie,7.4,Not Awarded,2018-07-13,2010-2029
8287,Movie,2.2,Not Awarded,2018-07-13,2010-2029
8288,Movie,6.6,1.0,2017-10-20,2010-2029
8289,Movie,6.2,3.0,2017-08-25,2010-2029
8290,Movie,6.0,1.0,2017-11-10,2010-2029
8291,Movie,5.8,1.0,2009-04-10,1990-2009
8292,Series,4.4,Not Awarded,2015-09-12,2010-2029
8293,Movie,7.8,13.0,2016-02-11,2010-2029
8294,Series,7.1,Not Awarded,2018-07-05,2010-2029
8295,Movie,6.2,Not Awarded,2017-09-15,2010-2029
8296,Series,8.3,Not Awarded,2018-07-07,2010-2029
8297,Series,8.8,4.0,2018-07-07,2010-2029
8298,Series,7.4,5.0,2018-07-07,2010-2029
8299,Movie,3.3,Not Awarded,2015-11-12,2010-2029
8300,Movie,5.8,2.0,2014-10-02,2010-2029
8301,Movie,4.3,Not Awarded,2011-11-04,2010-2029
8302,Movie,8.2,Not Awarded,2018-07-06,2010-2029
8303,Movie,7.0,1.0,2018-07-06,2010-2029
8304,Movie,7.5,46.0,2018-01-19,2010-2029
8305,Movie,5.8,Not Awarded,2018-07-06,2010-2029
8306,Movie,5.5,Not Awarded,2018-07-06,2010-2029
8307,Series,6.5,Not Awarded,2018-07-06,2010-2029
8309,Movie,4.6,1.0,2009-02-12,1990-2009
8310,Movie,6.1,4.0,2017-10-06,2010-2029
8311,Movie,7.1,3.0,1996-07-19,1990-2009
8312,Movie,3.7,Not Awarded,2011-10-21,2010-2029
8313,Movie,5.4,Not Awarded,2014-12-11,2010-2029
8314,Movie,6.0,Not Awarded,2014-11-06,2010-2029
8315,Movie,3.6,Not Awarded,2013-09-26,2010-2029
8316,Movie,5.0,Not Awarded,2011-09-30,2010-2029
8317,Movie,5.7,Not Awarded,2017-04-14,2010-2029
8318,Movie,4.6,1.0,2014-01-09,2010-2029
8319,Series,7.4,Not Awarded,2016-09-21,2010-2029
8320,Movie,6.6,2.0,2016-01-01,2010-2029
8321,Series,7.8,Not Awarded,2018-02-26,2010-2029
8322,Movie,6.0,Not Awarded,2011-11-23,2010-2029
8323,Movie,7.0,Not Awarded,2018-03-02,2010-2029
8324,Movie,6.3,7.0,2018-07-02,2010-2029
8325,Movie,6.3,12.0,2017-02-22,2010-2029
8326,Movie,7.7,7.0,2002-05-10,1990-2009
8327,Movie,5.3,2.0,2018-04-27,2010-2029
8328,Movie,5.6,1.0,2011-04-15,2010-2029
8329,Movie,2.7,Not Awarded,2014-10-09,2010-2029
8330,Movie,5.7,Not Awarded,2014-10-23,2010-2029
8331,Movie,2.8,Not Awarded,2013-11-21,2010-2029
8332,Movie,5.3,Not Awarded,2011-04-22,2010-2029
8333,Movie,3.5,Not Awarded,2015-12-16,2010-2029
8334,Movie,6.3,2.0,2016-07-28,2010-2029
8335,Movie,4.4,1.0,2017-09-27,2010-2029
8336,Series,6.9,Not Awarded,2014-11-10,2010-2029
8337,Series,8.7,2.0,2016-11-22,2010-2029
8338,Series,6.9,Not Awarded,2015-10-03,2010-2029
8339,Movie,5.6,Not Awarded,2016-12-31,2010-2029
8340,Movie,7.2,8.0,1994-07-15,1990-2009
8341,Movie,5.9,1.0,1995-11-17,1990-2009
8342,Movie,5.3,Not Awarded,2016-10-06,2010-2029
8343,Movie,7.9,1.0,1991-02-21,1990-2009
8344,Movie,5.6,Not Awarded,2014-01-16,2010-2029
8345,Movie,5.8,Not Awarded,2016-10-21,2010-2029
8346,Movie,7.5,Not Awarded,2016-08-15,2010-2029
8347,Movie,6.4,Not Awarded,2016-11-04,2010-2029
8348,Movie,6.7,Not Awarded,2017-03-17,2010-2029
8349,Movie,5.5,1.0,2014-08-21,2010-2029
8350,Movie,2.4,Not Awarded,2013-02-01,2010-2029
8351,Movie,7.5,5.0,2002-03-15,1990-2009
8352,Movie,4.5,Not Awarded,2017-05-11,2010-2029
8353,Movie,8.0,2.0,2017-03-03,2010-2029
8355,Movie,7.3,Not Awarded,2014-12-18,2010-2029
8356,Movie,7.1,Not Awarded,2018-03-23,2010-2029
8357,Movie,6.8,11.0,2017-07-20,2010-2029
8358,Movie,6.8,5.0,2003-12-04,1990-2009
8359,Movie,7.4,Not Awarded,2005-03-04,1990-2009
8360,Movie,5.5,Not Awarded,2018-01-19,2010-2029
8361,Movie,7.6,4.0,2017-04-21,2010-2029
8362,Movie,3.8,Not Awarded,2017-01-06,2010-2029
8363,Movie,5.4,Not Awarded,2017-07-21,2010-2029
8364,Movie,5.9,Not Awarded,2016-01-29,2010-2029
8365,Movie,5.2,3.0,2018-03-13,2010-2029
8366,Movie,6.4,2.0,2017-09-04,2010-2029
8367,Movie,7.5,4.0,2007-07-27,1990-2009
8368,Movie,6.4,Not Awarded,2017-07-21,2010-2029
8369,Movie,5.9,1.0,2017-06-24,2010-2029
8370,Movie,6.6,Not Awarded,2003-06-13,1990-2009
8371,Movie,4.8,Not Awarded,2016-12-09,2010-2029
8372,Movie,6.2,Not Awarded,2017-11-30,2010-2029
8373,Movie,5.8,Not Awarded,2017-06-09,2010-2029
8374,Movie,3.7,Not Awarded,2017-09-15,2010-2029
8375,Series,5.5,5.0,2012-12-14,2010-2029
8376,Movie,6.9,3.0,2009-07-01,1990-2009
8377,Movie,7.1,1.0,2007-03-23,1990-2009
8378,Movie,5.6,Not Awarded,2010-04-02,2010-2029
8379,Movie,5.2,Not Awarded,2006-08-04,1990-2009
8380,Movie,5.0,Not Awarded,2017-08-04,2010-2029
8381,Movie,8.0,5.0,2011-08-05,2010-2029
8382,Movie,5.6,Not Awarded,2019-05-28,2010-2029
8383,Movie,4.7,Not Awarded,2017-06-09,2010-2029
8384,Movie,3.3,Not Awarded,2016-12-09,2010-2029
8385,Series,6.2,3.0,2017-07-24,2010-2029
8386,Movie,5.7,4.0,2017-10-27,2010-2029
8387,Movie,4.6,1.0,2016-12-02,2010-2029
8388,Movie,6.6,Not Awarded,2018-06-29,2010-2029
8389,Series,6.3,Not Awarded,2018-06-29,2010-2029
8390,Movie,6.3,1.0,2018-06-15,2010-2029
8391,Movie,5.4,Not Awarded,2018-05-10,2010-2029
8392,Movie,4.8,Not Awarded,2018-06-29,2010-2029
8393,Series,7.3,1.0,2017-11-14,2010-2029
8395,Series,7.7,Not Awarded,2018-04-09,2010-2029
8396,Movie,5.8,Not Awarded,2018-06-29,2010-2029
8397,Movie,6.8,2.0,2018-06-29,2010-2029
8398,Movie,3.5,Not Awarded,2018-03-23,2010-2029
8399,Movie,5.7,3.0,2018-03-30,2010-2029
8400,Movie,7.3,16.0,2017-12-20,2010-2029
8401,Series,7.4,4.0,2018-06-26,2010-2029
8402,Movie,6.4,Not Awarded,2018-06-26,2010-2029
8403,Series,7.6,2.0,2011-07-31,2010-2029
8405,Series,7.6,2.0,2011-07-31,2010-2029
8406,Series,5.4,4.0,2017-06-04,2010-2029
8407,Movie,6.3,Not Awarded,2017-09-08,2010-2029
8408,Series,6.7,Not Awarded,2018-12-18,2010-2029
8409,Movie,5.3,Not Awarded,2018-06-24,2010-2029
8410,Movie,6.8,1.0,2017-05-19,2010-2029
8411,Series,6.6,Not Awarded,2018-03-07,2010-2029
8412,Movie,5.8,Not Awarded,2018-05-25,2010-2029
8413,Movie,7.8,Not Awarded,2011-04-24,2010-2029
8414,Movie,6.6,Not Awarded,2018-06-22,2010-2029
8415,Series,4.9,Not Awarded,2018-06-22,2010-2029
8416,Series,7.9,2.0,2004-07-14,1990-2009
8417,Movie,7.4,4.0,2018-06-22,2010-2029
8418,Movie,7.3,8.0,2017-09-08,2010-2029
8419,Movie,6.0,Not Awarded,2017-09-22,2010-2029
8420,Series,7.7,6.0,2015-04-27,2010-2029
8421,Movie,8.3,3.0,2018-06-19,2010-2029
8422,Series,7.4,3.0,2016-08-12,2010-2029
8423,Series,7.9,1.0,2018-02-27,2010-2029
8424,Series,6.5,1.0,2018-06-17,2010-2029
8425,Movie,7.0,1.0,2016-12-21,2010-2029
8426,Movie,6.4,Not Awarded,2018-04-11,2010-2029
8427,Movie,7.9,Not Awarded,2017-03-18,2010-2029
8428,Series,8.7,Not Awarded,2013-10-05,2010-2029
8429,Movie,7.4,4.0,2017-10-05,2010-2029
8430,Movie,6.9,7.0,2018-06-15,2010-2029
8431,Movie,6.5,Not Awarded,2018-06-15,2010-2029
8432,Movie,6.9,22.0,2018-04-06,2010-2029
8433,Movie,5.0,Not Awarded,2007-08-30,1990-2009
8434,Movie,6.5,Not Awarded,2018-06-15,2010-2029
8435,Movie,6.0,4.0,2011-10-27,2010-2029
8436,Movie,6.3,Not Awarded,2018-06-15,2010-2029
8437,Movie,6.6,Not Awarded,2017-09-28,2010-2029
8438,Series,7.0,Not Awarded,2017-08-16,2010-2029
8439,Series,5.9,Not Awarded,2018-03-13,2010-2029
8440,Movie,7.8,64.0,2017-07-21,2010-2029
8441,Movie,7.0,9.0,1982-08-13,1970-1989
8442,Series,6.1,Not Awarded,2018-03-08,2010-2029
8443,Movie,6.9,Not Awarded,2018-06-08,2010-2029
8444,Movie,5.4,Not Awarded,2017-10-27,2010-2029
8445,Movie,6.9,8.0,2018-06-08,2010-2029
8446,Series,7.2,Not Awarded,2018-06-08,2010-2029
8447,Series,7.4,Not Awarded,2018-02-21,2010-2029
8448,Movie,6.3,Not Awarded,2018-06-08,2010-2029
8449,Series,7.9,2.0,2004-06-01,1990-2009
8450,Movie,5.1,Not Awarded,2015-12-11,2010-2029
8451,Series,6.8,Not Awarded,2017-06-23,2010-2029
8452,Movie,5.4,4.0,2016-05-21,2010-2029
8453,Movie,6.2,Not Awarded,2017-09-01,2010-2029
8454,Movie,6.2,2.0,2016-11-18,2010-2029
8455,Movie,3.3,Not Awarded,2018-01-19,2010-2029
8456,Movie,6.3,1.0,2017-11-17,2010-2029
8457,Movie,7.4,116.0,2017-12-01,2010-2029
8458,Series,6.8,Not Awarded,2016-02-25,2010-2029
8460,Movie,4.5,Not Awarded,1998-04-10,1990-2009
8461,Movie,3.8,Not Awarded,2017-11-24,2010-2029
8462,Movie,4.6,Not Awarded,2010-03-23,2010-2029
8463,Movie,7.0,15.0,2017-09-15,2010-2029
8464,Movie,5.8,Not Awarded,2017-03-14,2010-2029
8465,Movie,7.4,31.0,2017-12-08,2010-2029
8466,Movie,6.6,Not Awarded,1982-07-16,1970-1989
8467,Movie,7.3,Not Awarded,1963-06-19,1950-1969
8469,Series,8.3,Not Awarded,2018-06-01,2010-2029
8471,Movie,6.2,8.0,2018-09-07,2010-2029
8472,Movie,7.6,19.0,2017-05-03,2010-2029
8473,Movie,5.0,Not Awarded,2015-10-29,2010-2029
8475,Series,5.7,4.0,2006-06-21,1990-2009
8476,Movie,7.2,Not Awarded,1984-08-17,1970-1989
8477,Movie,6.6,Not Awarded,1996-07-13,1990-2009
8478,Movie,7.0,2.0,2004-01-16,1990-2009
8479,Movie,7.6,2.0,1985-12-14,1970-1989
8480,Movie,6.4,2.0,2012-07-27,2010-2029
8481,Movie,7.4,1.0,2004-01-16,1990-2009
8482,Movie,7.1,4.0,2016-10-28,2010-2029
8483,Movie,6.6,9.0,2017-09-15,2010-2029
8484,Series,5.2,Not Awarded,2018-05-27,2010-2029
8485,Movie,5.9,1.0,2018-02-02,2010-2029
8486,Movie,6.3,Not Awarded,2018-05-25,2010-2029
8487,Movie,7.1,Not Awarded,2018-05-25,2010-2029
8489,Movie,5.7,Not Awarded,2017-04-28,2010-2029
8490,Movie,5.2,2.0,1991-02-08,1990-2009
8491,Movie,6.7,1.0,1991-03-08,1990-2009
8492,Movie,6.5,2.0,2017-06-09,2010-2029
8493,Movie,6.7,Not Awarded,2018-05-22,2010-2029
8494,Movie,6.0,2.0,2017-06-09,2010-2029
8495,Movie,5.6,Not Awarded,2018-05-18,2010-2029
8497,Series,7.9,2.0,2015-11-16,2010-2029
8498,Series,7.3,6.0,2015-05-15,2010-2029
8499,Series,7.2,Not Awarded,2016-04-07,2010-2029
8500,Movie,7.8,Not Awarded,2017-11-20,2010-2029
8501,Series,7.8,Not Awarded,2016-07-06,2010-2029
8502,Movie,6.2,1.0,2018-05-10,2010-2029
8503,Series,7.9,17.0,2016-08-15,2010-2029
8504,Movie,6.8,Not Awarded,2017-04-21,2010-2029
8505,Movie,6.1,Not Awarded,2018-05-01,2010-2029
8506,Series,8.0,2.0,2016-12-19,2010-2029
8507,Movie,5.3,Not Awarded,2018-02-16,2010-2029
8508,Movie,7.1,2.0,2018-01-19,2010-2029
8509,Movie,7.4,Not Awarded,2018-05-13,2010-2029
8510,Movie,7.1,Not Awarded,2018-05-11,2010-2029
8511,Movie,5.5,Not Awarded,2018-05-11,2010-2029
8512,Movie,6.0,1.0,2018-05-11,2010-2029
8513,Series,7.8,Not Awarded,2017-08-01,2010-2029
8514,Series,6.6,1.0,2018-05-11,2010-2029
8515,Movie,6.0,4.0,2015-09-10,2010-2029
8516,Series,6.6,5.0,2018-08-24,2010-2029
8517,Movie,8.0,Not Awarded,2013-08-09,2010-2029
8518,Movie,7.2,1.0,2017-08-11,2010-2029
8519,Movie,6.3,2.0,2017-06-02,2010-2029
8520,Movie,6.4,Not Awarded,2018-05-08,2010-2029
8521,Series,7.9,Not Awarded,2017-03-31,2010-2029
8522,Movie,7.6,2.0,2017-04-07,2010-2029
8523,Movie,6.5,1.0,2017-08-11,2010-2029
8524,Movie,7.9,36.0,2017-06-28,2010-2029
8525,Movie,4.4,Not Awarded,2018-05-05,2010-2029
8526,Movie,6.0,Not Awarded,2018-05-04,2010-2029
8527,Movie,6.8,Not Awarded,2017-06-02,2010-2029
8528,Movie,4.2,Not Awarded,2018-05-04,2010-2029
8529,Movie,5.2,Not Awarded,2018-05-04,2010-2029
8530,Movie,6.1,Not Awarded,2018-05-04,2010-2029
8531,Movie,7.1,Not Awarded,2018-05-04,2010-2029
8532,Series,6.3,Not Awarded,2018-05-04,2010-2029
8534,Movie,6.0,Not Awarded,2018-05-04,2010-2029
8535,Series,6.3,Not Awarded,2018-05-04,2010-2029
8536,Movie,5.0,Not Awarded,2013-05-01,2010-2029
8537,Movie,6.0,Not Awarded,2018-01-12,2010-2029
8538,Movie,3.8,Not Awarded,2018-01-26,2010-2029
8539,Movie,5.6,Not Awarded,2018-01-04,2010-2029
8540,Series,6.8,Not Awarded,2018-05-03,2010-2029
8541,Series,8.2,4.0,2016-10-16,2010-2029
8542,Movie,4.7,2.0,2018-03-02,2010-2029
8543,Movie,4.8,Not Awarded,2018-01-04,2010-2029
8544,Movie,6.4,Not Awarded,1994-10-14,1990-2009
8545,Movie,6.5,1.0,2017-09-15,2010-2029
8546,Series,8.5,Not Awarded,2013-07-01,2010-2029
8547,Movie,5.4,2.0,2017-09-29,2010-2029
8548,Movie,8.0,Not Awarded,2018-05-01,2010-2029
8549,Movie,5.0,Not Awarded,2018-05-01,2010-2029
8550,Movie,4.0,Not Awarded,1992-05-08,1990-2009
8551,Movie,5.8,Not Awarded,2018-04-17,2010-2029
8552,Movie,7.2,Not Awarded,2018-04-30,2010-2029
8553,Movie,6.9,2.0,2017-12-01,2010-2029
8554,Movie,7.1,1.0,1986-03-14,1970-1989
8555,Series,8.4,3.0,2010-03-20,2010-2029
8556,Movie,6.9,1.0,2016-11-16,2010-2029
8557,Movie,5.8,1.0,2017-08-11,2010-2029
8558,Series,7.6,Not Awarded,2012-01-09,2010-2029
8559,Movie,5.1,Not Awarded,2018-01-26,2010-2029
8560,Movie,7.6,1.0,1993-02-26,1990-2009
8561,Movie,5.7,Not Awarded,2016-12-02,2010-2029
8562,Movie,6.0,13.0,2015-05-27,2010-2029
8563,Movie,4.7,Not Awarded,2016-07-23,2010-2029
8564,Movie,6.8,Not Awarded,2017-10-06,2010-2029
8565,Series,4.9,Not Awarded,2017-02-01,2010-2029
8566,Movie,8.3,Not Awarded,2017-07-07,2010-2029
8567,Movie,6.5,Not Awarded,2017-08-04,2010-2029
8568,Movie,8.4,Not Awarded,2017-12-15,2010-2029
8569,Movie,3.6,8.0,2002-10-11,1990-2009
8570,Movie,7.7,Not Awarded,2015-10-01,2010-2029
8571,Movie,7.2,2.0,2016-05-27,2010-2029
8572,Movie,6.9,2.0,2017-11-24,2010-2029
8573,Movie,5.8,1.0,2018-05-01,2010-2029
8574,Movie,6.5,Not Awarded,2017-05-19,2010-2029
8575,Movie,4.6,Not Awarded,2018-05-06,2010-2029
8576,Movie,6.6,Not Awarded,2017-07-28,2010-2029
8578,Movie,5.5,Not Awarded,2000-03-24,1990-2009
8579,Movie,6.7,3.0,2018-05-02,2010-2029
8580,Movie,7.7,Not Awarded,2015-10-01,2010-2029
8581,Movie,7.1,Not Awarded,2018-04-23,2010-2029
8582,Movie,5.8,Not Awarded,2017-08-30,2010-2029
8583,Movie,6.6,Not Awarded,2017-02-17,2010-2029
8584,Series,5.6,Not Awarded,2017-05-27,2010-2029
8585,Series,5.2,Not Awarded,2017-10-20,2010-2029
8586,Movie,6.1,2.0,2016-10-21,2010-2029
8587,Series,7.2,Not Awarded,2018-04-01,2010-2029
8588,Movie,6.2,Not Awarded,2009-02-13,1990-2009
8589,Movie,6.8,Not Awarded,2017-01-08,2010-2029
8590,Series,8.6,6.0,2016-01-22,2010-2029
8591,Movie,6.2,Not Awarded,2018-04-27,2010-2029
8592,Movie,5.8,Not Awarded,2018-04-27,2010-2029
8593,Series,6.5,2.0,2018-04-28,2010-2029
8594,Movie,5.2,Not Awarded,2018-04-27,2010-2029
8595,Series,8.2,Not Awarded,2018-04-27,2010-2029
8597,Series,7.6,Not Awarded,2016-01-07,2010-2029
8598,Movie,5.3,Not Awarded,2018-04-27,2010-2029
8599,Movie,5.0,Not Awarded,2018-01-26,2010-2029
8600,Series,8.2,Not Awarded,2017-12-06,2010-2029
8601,Movie,5.5,Not Awarded,2018-04-26,2010-2029
8602,Movie,5.9,Not Awarded,2018-04-25,2010-2029
8603,Movie,6.6,Not Awarded,2009-04-20,1990-2009
8604,Movie,6.3,Not Awarded,2017-03-12,2010-2029
8605,Movie,6.1,Not Awarded,2018-04-24,2010-2029
8606,Movie,7.0,10.0,2004-04-30,1990-2009
8608,Series,7.5,3.0,2017-10-25,2010-2029
8609,Movie,5.1,Not Awarded,2018-04-20,2010-2029
8610,Series,8.3,Not Awarded,2016-04-02,2010-2029
8611,Movie,6.8,Not Awarded,2018-04-20,2010-2029
8612,Movie,6.8,Not Awarded,2018-04-20,2010-2029
8613,Series,4.7,Not Awarded,2018-04-20,2010-2029
8615,Series,7.2,2.0,2016-03-26,2010-2029
8616,Series,6.6,Not Awarded,2014-02-26,2010-2029
8617,Series,7.7,3.0,2018-01-22,2010-2029
8618,Series,8.4,Not Awarded,2018-04-11,2010-2029
8619,Movie,5.5,1.0,2018-03-09,2010-2029
8620,Series,7.8,3.0,2018-04-19,2010-2029
8621,Movie,6.3,1.0,2018-03-01,2010-2029
8622,Series,7.0,1.0,2017-02-18,2010-2029
8623,Series,7.3,Not Awarded,2017-02-24,2010-2029
8624,Series,7.7,Not Awarded,2016-10-07,2010-2029
8625,Movie,5.5,Not Awarded,2014-10-02,2010-2029
8626,Movie,7.0,Not Awarded,2006-09-22,1990-2009
8627,Movie,5.8,Not Awarded,2014-10-30,2010-2029
8628,Movie,7.9,15.0,2016-07-29,2010-2029
8629,Series,7.0,Not Awarded,2018-04-17,2010-2029
8630,Series,6.8,Not Awarded,2018-04-17,2010-2029
8631,Movie,6.2,1.0,2017-04-20,2010-2029
8632,Series,6.9,Not Awarded,2016-04-18,2010-2029
8633,Series,7.4,Not Awarded,2017-09-10,2010-2029
8634,Movie,5.3,Not Awarded,2017-12-15,2010-2029
8635,Movie,7.9,Not Awarded,1982-06-25,1970-1989
8636,Movie,7.9,Not Awarded,1998-03-21,1990-2009
8637,Series,8.0,Not Awarded,2006-02-01,1990-2009
8638,Movie,7.6,Not Awarded,2014-11-13,2010-2029
8639,Movie,7.7,Not Awarded,2013-10-08,2010-2029
8640,Series,7.5,Not Awarded,2014-11-03,2010-2029
8641,Movie,7.4,Not Awarded,2015-06-13,2010-2029
8642,Movie,8.2,Not Awarded,1989-11-18,1970-1989
8643,Movie,7.7,Not Awarded,2014-07-20,2010-2029
8644,Movie,7.5,Not Awarded,2012-11-13,2010-2029
8645,Movie,8.2,3.0,1975-05-25,1970-1989
8646,Movie,8.1,Not Awarded,1979-08-17,1970-1989
8647,Movie,3.8,3.0,2018-04-15,2010-2029
8648,Movie,4.1,1.0,2018-04-15,2010-2029
8649,Series,8.8,4.0,1969-10-05,1950-1969
8650,Movie,5.0,Not Awarded,2017-09-14,2010-2029
8651,Series,8.0,Not Awarded,2018-04-06,2010-2029
8652,Series,6.8,Not Awarded,2018-04-08,2010-2029
8653,Series,8.1,3.0,2018-03-30,2010-2029
8654,Movie,6.3,1.0,2018-04-13,2010-2029
8655,Series,7.3,5.0,2018-04-13,2010-2029
8656,Movie,6.0,Not Awarded,2018-04-13,2010-2029
8657,Series,5.8,Not Awarded,2018-04-12,2010-2029
8658,Movie,5.4,Not Awarded,2018-04-12,2010-2029
8659,Movie,6.2,1.0,2000-01-21,1990-2009
8660,Movie,6.5,4.0,2005-06-24,1990-2009
8661,Series,7.5,4.0,1994-11-04,1990-2009
8662,Movie,5.1,Not Awarded,2005-07-29,1990-2009
8663,Movie,7.2,Not Awarded,2018-04-10,2010-2029
8664,Movie,6.6,6.0,2015-04-09,2010-2029
8665,Series,6.5,Not Awarded,2018-04-09,2010-2029
8666,Movie,6.0,Not Awarded,2017-09-22,2010-2029
8667,Movie,6.9,7.0,2018-04-13,2010-2029
8668,Series,7.1,Not Awarded,2018-04-09,2010-2029
8669,Series,7.6,Not Awarded,2019-09-27,2010-2029
8670,Series,7.5,Not Awarded,2001-01-12,1990-2009
8671,Movie,5.8,Not Awarded,2018-01-26,2010-2029
8672,Movie,7.6,66.0,2017-11-10,2010-2029
8673,Series,7.8,Not Awarded,2018-04-01,2010-2029
8674,Movie,6.9,Not Awarded,2011-12-01,2010-2029
8675,Movie,5.9,Not Awarded,2018-04-06,2010-2029
8676,Movie,7.0,Not Awarded,2018-04-06,2010-2029
8677,Series,6.4,1.0,2018-04-06,2010-2029
8678,Movie,7.8,Not Awarded,2018-04-06,2010-2029
8679,Movie,6.2,12.0,2018-04-05,2010-2029
8680,Movie,7.0,5.0,2017-11-03,2010-2029
8681,Movie,5.9,1.0,2017-04-07,2010-2029
8682,Movie,5.9,Not Awarded,2018-04-06,2010-2029
8683,Movie,5.0,Not Awarded,2018-04-06,2010-2029
8684,Movie,7.9,Not Awarded,2007-10-04,1990-2009
8685,Movie,6.3,6.0,2018-04-06,2010-2029
8686,Movie,5.5,1.0,2017-03-02,2010-2029
8687,Movie,6.3,Not Awarded,2017-06-30,2010-2029
8688,Movie,6.7,1.0,2017-12-12,2010-2029
8689,Movie,3.4,Not Awarded,2018-01-05,2010-2029
8690,Movie,4.7,Not Awarded,2018-01-12,2010-2029
8691,Movie,6.6,Not Awarded,2016-08-05,2010-2029
8692,Movie,7.3,2.0,2011-02-04,2010-2029
8693,Movie,2.8,Not Awarded,2016-09-30,2010-2029
8694,Movie,5.0,Not Awarded,2016-12-02,2010-2029
8695,Movie,5.6,Not Awarded,2016-04-08,2010-2029
8696,Series,7.3,Not Awarded,2016-04-04,2010-2029
8697,Movie,7.1,1.0,2016-10-28,2010-2029
8698,Movie,7.4,2.0,2005-12-23,1990-2009
8699,Movie,5.7,1.0,2015-11-13,2010-2029
8700,Movie,5.2,Not Awarded,2018-04-03,2010-2029
8701,Movie,6.0,Not Awarded,2018-04-03,2010-2029
8702,Movie,7.1,Not Awarded,1999-05-28,1990-2009
8703,Movie,7.2,Not Awarded,2017-11-03,2010-2029
8704,Series,5.7,Not Awarded,2017-03-07,2010-2029
8705,Movie,6.4,6.0,2017-08-04,2010-2029
8707,Movie,4.9,Not Awarded,2016-09-15,2010-2029
8708,Movie,7.2,1.0,1985-07-10,1970-1989
8709,Movie,6.0,1.0,2014-10-09,2010-2029
8710,Movie,6.8,8.0,2001-12-06,1990-2009
8711,Movie,6.2,4.0,2016-10-28,2010-2029
8712,Movie,6.8,Not Awarded,1980-12-12,1970-1989
8713,Movie,6.5,8.0,2017-10-06,2010-2029
8714,Movie,6.6,Not Awarded,2006-09-29,1990-2009
8715,Movie,7.7,3.0,1975-07-18,1970-1989
8716,Movie,6.5,1.0,1993-12-10,1990-2009
8717,Movie,6.0,1.0,1988-01-15,1970-1989
8718,Movie,3.9,Not Awarded,2017-10-04,2010-2029
8719,Movie,4.8,Not Awarded,2017-10-12,2010-2029
8720,Movie,7.4,10.0,2007-04-19,1990-2009
8721,Movie,6.4,4.0,2016-09-09,2010-2029
8722,Movie,6.4,14.0,2018-01-12,2010-2029
8723,Movie,6.9,2.0,2015-09-24,2010-2029
8724,Movie,5.5,Not Awarded,2016-01-01,2010-2029
8725,Movie,7.3,1.0,2016-06-24,2010-2029
8726,Movie,5.7,Not Awarded,2011-04-06,2010-2029
8727,Movie,5.5,1.0,1998-03-06,1990-2009
8728,Movie,6.4,Not Awarded,2016-10-21,2010-2029
8729,Movie,6.0,Not Awarded,2017-03-24,2010-2029
8730,Movie,6.4,6.0,2018-04-01,2010-2029
8731,Movie,6.4,3.0,2017-10-27,2010-2029
8732,Movie,7.9,1.0,2016-10-01,2010-2029
8733,Movie,7.2,Not Awarded,2017-09-30,2010-2029
8734,Movie,5.1,Not Awarded,2015-05-29,2010-2029
8735,Series,6.6,Not Awarded,2017-07-17,2010-2029
8739,Movie,6.2,Not Awarded,2017-09-01,2010-2029
8740,Series,7.7,2.0,2017-01-01,2010-2029
8741,Movie,6.5,1.0,2016-03-26,2010-2029
8742,Movie,6.7,36.0,2007-11-09,1990-2009
