,Series or Movie,IMDb Score,Awards Received,Release Date,Release Period
232,Movie,5.0,Not Awarded,2019-05-17,2010-2029
233,Movie,6.8,9.0,2017-08-04,2010-2029
234,Movie,7.4,3.0,2006-10-20,1990-2009
235,Movie,2.8,Not Awarded,2011-08-30,2010-2029
236,Movie,6.5,5.0,2004-06-09,1990-2009
237,Movie,6.7,5.0,2004-06-10,1990-2009
238,Movie,3.7,Not Awarded,2019-01-25,2010-2029
239,Series,7.8,Not Awarded,2014-01-27,2010-2029
240,Movie,7.3,3.0,1965-12-17,1950-1969
241,Movie,6.4,Not Awarded,2020-02-25,2010-2029
242,Movie,7.3,Not Awarded,2019-02-01,2010-2029
243,Movie,7.1,Not Awarded,2017-01-26,2010-2029
244,Movie,6.5,26.0,1999-05-19,1990-2009
245,Movie,6.6,Not Awarded,2020-08-28,2010-2029
247,Series,8.3,Not Awarded,2020-10-24,2010-2029
250,Movie,6.4,Not Awarded,2020-09-04,2010-2029
251,Movie,6.8,11.0,2018-10-17,2010-2029
252,Movie,6.1,1.0,2020-04-10,2010-2029
253,Series,6.6,1.0,2012-02-11,2010-2029
254,Series,7.0,Not Awarded,2021-01-29,2010-2029
255,Movie,6.3,3.0,2019-04-26,2010-2029
256,Movie,7.3,Not Awarded,1930-04-26,1930-1949
258,Movie,6.8,6.0,2008-11-07,1990-2009
259,Movie,4.2,Not Awarded,2015-10-13,2010-2029
260,Movie,4.6,Not Awarded,2014-12-25,2010-2029
261,Movie,6.5,2.0,2020-02-14,2010-2029
262,Movie,5.4,Not Awarded,2020-06-18,2010-2029
263,Movie,5.4,Not Awarded,2014-04-26,2010-2029
264,Movie,6.1,Not Awarded,2010-12-23,2010-2029
265,Movie,6.1,Not Awarded,2010-12-23,2010-2029
266,Movie,6.6,Not Awarded,2017-02-12,2010-2029
268,Movie,5.7,Not Awarded,2019-09-26,2010-2029
269,Movie,6.8,1.0,2021-01-27,2010-2029
270,Series,7.0,Not Awarded,2021-01-27,2010-2029
271,Movie,6.7,1.0,2020-10-21,2010-2029
272,Movie,6.3,Not Awarded,2020-08-31,2010-2029
273,Movie,7.0,1.0,2015-09-03,2010-2029
274,Movie,8.4,Not Awarded,2021-01-26,2010-2029
275,Movie,5.4,Not Awarded,1946-09-29,1930-1949
276,Movie,6.9,1.0,2013-07-11,2010-2029
277,Movie,2.9,Not Awarded,2020-11-20,2010-2029
278,Movie,5.7,Not Awarded,2018-08-31,2010-2029
279,Series,7.1,12.0,2019-11-07,2010-2029
280,Movie,7.0,Not Awarded,1968-02-18,1950-1969
281,Movie,7.2,8.0,2016-11-17,2010-2029
282,Movie,5.9,Not Awarded,2016-10-20,2010-2029
283,Movie,8.1,3.0,1993-01-22,1990-2009
284,Movie,5.9,4.0,2018-10-31,2010-2029
285,Movie,7.5,Not Awarded,2015-11-24,2010-2029
